Job Class,Percentage,Link
Management,6.1,"https://en.wikipedia.org/wiki/Management"
Business and Financial operations,5,"https://en.wikipedia.org/wiki/Business"
Computer and Mathematical,2.7,"https://en.wikipedia.org/wiki/Computer_science"
Architecture and Engineering,1.7,"https://en.wikipedia.org/wiki/Civil_engineering"
"Life, Physical and Social Science",0.9,"https://en.wikipedia.org/wiki/Biology"
Community and Social Service,1.6,"https://en.wikipedia.org/wiki/Social_science"
Legal,0.8,"https://en.wikipedia.org/wiki/Law"
"Education, training and library",6.1,"https://en.wikipedia.org/wiki/Teacher"
"Arts, design, entertainment, sports and media",1.7,"https://en.wikipedia.org/wiki/Media"
Healthcare practioners and technical,5.5,"https://en.wikipedia.org/wiki/Medicine"
Healthcare support,2.8,"https://en.wikipedia.org/wiki/Health_care"
Protective service,2.3,"https://en.wikipedia.org/wiki/Protection"
Food preparation and serving,8.3,"https://en.wikipedia.org/wiki/Cooking"
Building and grounds cleaning and maintenance,3.7,"https://en.wikipedia.org/wiki/Construction"
Personal care and service,4,"https://en.wikipedia.org/wiki/Domestic_worker"
Sales,10.2,"https://en.wikipedia.org/wiki/Sales"
Office and administrative support,15.1,"https://en.wikipedia.org/wiki/Accounting"
"Farming, fishing and forestry",0.6,"https://en.wikipedia.org/wiki/Agriculture"
Construction and extraction,4.3,"https://en.wikipedia.org/wiki/Natural_resource"
"Installation, maintenance and repair",3.8,"https://en.wikipedia.org/wiki/Maintenance"
Production,6.1,"https://en.wikipedia.org/wiki/Production"
Transportation and material moving,6.5,"https://en.wikipedia.org/wiki/Transport"
Total,99.8
